stock_code,historical_name,corp_code,dart_corp_name,mapping_method,mapped
0220W0,,02042949,한화머시너리앤서비스홀딩스,stock_code,True
022100,,00155212,포스코DX,stock_code,True
023530,,00120526,롯데쇼핑,stock_code,True
023590,,00176914,다우기술,stock_code,True
024110,,00149646,기업은행,stock_code,True
024720,,00203290,콜마홀딩스,stock_code,True
025320,,00203023,시노펙스,stock_code,True
025540,,00157070,한국단자공업,stock_code,True
025860,,00107987,남해화학,stock_code,True
025900,,00173032,동화기업,stock_code,True
025980,,00161781,아난티,stock_code,True
026890,,00117498,스틱인베스트먼트,stock_code,True
026960,,00144395,동서,stock_code,True
027410,,00219097,BGF,stock_code,True
028050,,00126308,삼성E&A,stock_code,True
028150,,00207755,지에스홈쇼핑,stock_code,True
028260,,00149655,삼성물산,stock_code,True
028300,,00199252,HLB,stock_code,True
028670,,00122737,팬오션,stock_code,True
029460,,00209780,케이씨,stock_code,True
029780,,00126292,삼성카드,stock_code,True
029960,,00197476,코엔텍,stock_code,True
030000,,00148276,제일기획,stock_code,True
030190,,00158325,NICE평가정보,stock_code,True
030200,,00190321,케이티,stock_code,True
030530,,00216647,원익홀딩스,stock_code,True
030610,,00113359,교보증권,stock_code,True
031210,,00112998,서울보증보험,stock_code,True
031390,,00198378,녹십자셀,stock_code,True
031430,,00234412,신세계인터내셔날,stock_code,True
031440,,00274933,신세계푸드,stock_code,True
031980,,00208444,피에스케이홀딩스,stock_code,True
032190,,00238782,다우데이타,stock_code,True
032350,,00231372,롯데관광개발,stock_code,True
032500,,00226352,케이엠더블유,stock_code,True
032640,,00231363,LG유플러스,stock_code,True
032820,,00231044,우리기술,stock_code,True
032830,,00126256,삼성생명,stock_code,True
033100,,00185356,제룡전기,stock_code,True
033180,,00193009,케이에이치필룩스,stock_code,True
033270,,00158963,유나이티드,stock_code,True
033290,,00155948,로젠,stock_code,True
033640,,00227333,네패스,stock_code,True
033660,,00209443,우리금융캐피탈,stock_code,True
033780,,00244455,케이티앤지,stock_code,True
033920,,00121543,무학,stock_code,True
034020,,00159616,두산에너빌리티,stock_code,True
034120,,00130772,SBS,stock_code,True
034220,,00105873,LG디스플레이,stock_code,True
034230,,00171265,파라다이스,stock_code,True
034310,,00158316,NICE,stock_code,True
034730,,00181712,SK,stock_code,True
034830,,00233653,한국토지신탁,stock_code,True
035250,,00255619,강원랜드,stock_code,True
035420,,00266961,NAVER,stock_code,True
035600,,00264547,KG이니시스,stock_code,True
035720,,00258801,카카오,stock_code,True
035760,,00265324,CJ ENM,stock_code,True
035900,,00258689,JYP Ent.,stock_code,True
036420,,00203315,콘텐트리중앙,stock_code,True
036460,,00261285,한국가스공사,stock_code,True
036490,,00110051,에스케이머티리얼즈,stock_code,True
036540,,00301246,SFA반도체,stock_code,True
036570,,00261443,NC,stock_code,True
036580,,00260408,팜스코,stock_code,True
036830,,00247975,솔브레인홀딩스,stock_code,True
036930,,00252135,주성엔지니어링,stock_code,True
037560,,00222532,LG헬로비전,stock_code,True
038500,,00239639,삼표시멘트,stock_code,True
038540,,00306162,상상인,stock_code,True
